,index,area,code,region,color,lat,lng,population,population_share
0,113,Morocco,MAR,Africa North,gold,32.0,-5.0,33241900.0,0.004407782538290205
1,2,Algeria,DZA,Africa North,gold,28.0,3.0,37383895.0,0.004956999437284707
2,99,Libya,LBY,Africa North,gold,25.0,17.0,6285748.0,0.0008334725233663713
4,173,Tunisia,TUN,Africa North,gold,34.0,9.0,10847002.0,0.0014382819877443507
5,163,Sudan,SDN,Africa North,gold,15.0,30.0,36193783.0,0.004799193930011969
6,54,Egypt,EGY,Africa North,gold,27.0,30.0,86422243.0,0.011459346596171486
7,150,Senegal,SEN,Africa Sub-Sahara,goldenrod,14.0,-14.0,13401992.0,0.0017770664828395796
8,59,Ethiopia,ETH,Africa Sub-Sahara,goldenrod,8.0,38.0,92726985.0,0.012295337670569305
9,58,Eswatini,SWZ,Africa Sub-Sahara,goldenrod,-26.5,31.5,1079288.0,0.00014311055626140982
10,153,Sierra Leone,SLE,Africa Sub-Sahara,goldenrod,8.5,-11.5,6712584.0,0.0008900697776603087
11,56,Eritrea,ERI,Africa Sub-Sahara,goldenrod,15.0,39.0,3250100.0,0.0004309541280040249
12,191,Zimbabwe,ZWE,Africa Sub-Sahara,goldenrod,-20.0,30.0,13115150.0,0.0017390320395963162
13,103,Malawi,MWI,Africa Sub-Sahara,goldenrod,-13.5,34.0,15396015.0,0.0020414683299165835
14,50,Djibouti,DJI,Africa Sub-Sahara,goldenrod,11.5,43.0,868137.0,0.00011511252694471867
15,158,Somalia,SOM,Africa Sub-Sahara,goldenrod,10.0,49.0,12715503.0,0.0016860399703078558
16,48,Democratic Republic of the Congo,COD,Africa Sub-Sahara,goldenrod,0.0,25.0,69020747.0,0.00915195712057211
17,46,Côte d'Ivoire,CIV,Africa Sub-Sahara,goldenrod,8.0,-5.0,21547188.0,0.0028570965864061996
19,159,South Africa,ZAF,Africa Sub-Sahara,goldenrod,-29.0,24.0,52832658.0,0.007005462003792151
20,148,Sao Tome and Principe,STP,Africa Sub-Sahara,goldenrod,1.0,7.0,188404.0,2.4981841030266856e-05
21,64,Gabon,GAB,Africa Sub-Sahara,goldenrod,-1.0,11.75,1749682.0,0.0002320029170161959
22,68,Ghana,GHA,Africa Sub-Sahara,goldenrod,8.0,-2.0,25996450.0,0.0034470562262546487
23,143,Rwanda,RWA,Africa Sub-Sahara,goldenrod,-2.0,30.0,10549673.0,0.0013988569977670241
24,102,Madagascar,MDG,Africa Sub-Sahara,goldenrod,-20.0,47.0,22346645.0,0.002963102338325129
25,108,Mauritania,MRT,Africa Sub-Sahara,goldenrod,20.0,-12.0,3706555.0,0.0004914787784757264
26,109,Mauritius,MUS,Africa Sub-Sahara,goldenrod,-20.2833,57.55,1253488.0,0.00016620898680148584
27,98,Liberia,LBR,Africa Sub-Sahara,goldenrod,6.5,-9.5,4135658.9999999995,0.0005483767631971316
28,97,Lesotho,LSO,Africa Sub-Sahara,goldenrod,-29.5,28.5,2014994.0,0.00026718254275355903
29,190,Zambia,ZMB,Africa Sub-Sahara,goldenrod,-15.0,30.0,14465150.0,0.0019180382464223933
30,65,Gambia,GMB,Africa Sub-Sahara,goldenrod,13.4667,-16.5667,1905013.0,0.00025259937117360433
31,114,Mozambique,MOZ,Africa Sub-Sahara,goldenrod,-18.25,35.0,24862664.0,0.003296719388319455
32,116,Namibia,NAM,Africa Sub-Sahara,goldenrod,-22.0,17.0,2194783.0,0.000291022058989895
33,123,Niger,NER,Africa Sub-Sahara,goldenrod,16.0,8.0,17795210.0,0.0023595948457581315
34,124,Nigeria,NGA,Africa Sub-Sahara,goldenrod,10.0,8.0,167228794.0,0.022174068211881084
35,73,Guinea-Bissau,GNB,Africa Sub-Sahara,goldenrod,12.0,-15.0,1604979.0,0.00021281570579667454
36,72,Guinea,GIN,Africa Sub-Sahara,goldenrod,11.0,-10.0,10652031.0,0.0014124293809657676
37,160,South Sudan,SSD,Africa Sub-Sahara,goldenrod,8.0,30.0,10113649.0,0.0013410414404891476
38,90,Kenya,KEN,Africa Sub-Sahara,goldenrod,1.0,38.0,44343467.0,0.005879819129768393
39,39,Congo,COG,Africa Sub-Sahara,goldenrod,-1.0,15.0,4510199.0,0.0005980397148301976
40,106,Mali,MLI,Africa Sub-Sahara,goldenrod,17.0,-4.0,15979496.0,0.0021188362710759063
41,18,Benin,BEN,Africa Sub-Sahara,goldenrod,9.5,2.25,9729249.0,0.0012900710805603
42,171,Togo,TGO,Africa Sub-Sahara,goldenrod,8.0,1.1667,6773809.0,0.000898188040632847
43,21,Botswana,BWA,Africa Sub-Sahara,goldenrod,-22.0,24.0,2039556.0,0.0002704393949402717
44,25,Burkina Faso,BFA,Africa Sub-Sahara,goldenrod,13.0,-2.0,16571253.0,0.0021973015865816687
45,26,Burundi,BDI,Africa Sub-Sahara,goldenrod,-3.5,30.0,9245988.0,0.0012259920298069839
46,27,Cabo Verde,CPV,Africa Sub-Sahara,goldenrod,16.0,-24.0,505235.0,6.69927414116838e-05
47,31,Central African Republic,CAF,Africa Sub-Sahara,goldenrod,7.0,21.0,4436416.0,0.0005882562963426062
48,177,Uganda,UGA,Africa Sub-Sahara,goldenrod,1.0,32.0,34558704.0,0.004582387048789024
49,32,Chad,TCD,Africa Sub-Sahara,goldenrod,15.0,19.0,12784750.0,0.0016952219279405118
50,29,Cameroon,CMR,Africa Sub-Sahara,goldenrod,6.0,12.0,21485265.0,0.002848885770594873
51,181,United Republic of Tanzania,TZA,Africa Sub-Sahara,goldenrod,-6.0,35.0,47053030.0,0.006239099570350827
52,3,Angola,AGO,Africa Sub-Sahara,goldenrod,-12.5,18.5,25107931.0,0.0033292411033784266
53,74,Guyana,GUY,America Latin and Caribbean,orangered,5.0,-59.0,755399.0,0.00010016378491126808
54,75,Haiti,HTI,America Latin and Caribbean,orangered,19.0,-72.4167,10250930.0,0.0013592445153626962
55,186,Venezuela (Bolivarian Republic of),VEN,America Latin and Caribbean,orangered,8.0,-66.0,29360837.0,0.003893164489339808
57,76,Honduras,HND,America Latin and Caribbean,orangered,15.0,-86.5,8640691.0,0.0011457313483453511
58,136,Puerto Rico,PRI,America Latin and Caribbean,orangered,18.25,-66.5,3536572.0,0.000468939510286899
59,132,Peru,PER,America Latin and Caribbean,orangered,-10.0,-76.0,29506788.0,0.003912517181852751
60,131,Paraguay,PRY,America Latin and Caribbean,orangered,-23.0,-58.0,6421513.0,0.0008514745808995139
61,10,Bahamas,BHS,America Latin and Caribbean,orangered,24.25,-76.0,363584.0,4.8210216816779605e-05
62,129,Panama,PAN,America Latin and Caribbean,orangered,9.0,-80.0,3770626.0,0.0004999744130516921
63,4,Antigua and Barbuda,ATG,America Latin and Caribbean,orangered,17.05,-61.8,90409.0,1.1987979372547271e-05
64,5,Argentina,ARG,America Latin and Caribbean,orangered,-34.0,-64.0,41755196.0,0.005536621667584735
65,183,Uruguay,URY,America Latin and Caribbean,orangered,-33.0,-56.0,3378975.0,0.0004480425908964032
66,17,Belize,BLZ,America Latin and Caribbean,orangered,17.25,-88.75,338000.0,4.4817850301640074e-05
67,13,Barbados,BRB,America Latin and Caribbean,orangered,13.1667,-59.5333,283701.0,3.761795546871477e-05
68,122,Nicaragua,NIC,America Latin and Caribbean,orangered,13.0,-85.0,5982526.0,0.0007932661381469515
69,110,Mexico,MEX,America Latin and Caribbean,orangered,23.0,-102.0,117274155.0,0.015550223440950696
70,86,Jamaica,JAM,America Latin and Caribbean,orangered,18.25,-77.5,2842132.0,0.00037685871749556485
